(3/28/2015,Saturday,New York City,Sporting KC,27454,41,34,27,2015,3,28,http://matchcenter.mlssoccer.com/matchcenter/2015-03-28-new-york-city-fc-vs-sporting-kansas-city/boxscore),
(3/28/2015,Saturday,Columbus,NY Red Bulls,10302,33,25,17,2015,3,28,http://matchcenter.mlssoccer.com/matchcenter/2015-03-28-columbus-crew-sc-vs-new-york-red-bulls/boxscore),
(3/28/2015,Saturday,Vancouver,Portland,22500,57,52,48,2015,3,28,http://matchcenter.mlssoccer.com/matchcenter/2015-03-28-vancouver-whitecaps-fc-vs-portland-timbers/boxscore),
(3/28/2015,Saturday,Houston,Colorado,19603,82,65,47,2015,3,28,http://matchcenter.mlssoccer.com/matchcenter/2015-03-28-houston-dynamo-vs-colorado-rapids/boxscore),
(3/28/2015,Saturday,FC Dallas,Seattle,18333,81,63,45,2015,3,28,http://matchcenter.mlssoccer.com/matchcenter/2015-03-28-fc-dallas-vs-seattle-sounders-fc/boxscore),
(3/29/2015,Sunday,Chicago,Philadelphia,12815,63,47,30,2015,3,29,http://matchcenter.mlssoccer.com/matchcenter/2015-03-29-chicago-fire-vs-philadelphia-union/boxscore),
(3/29/2015,Sunday,Real Salt Lake,Toronto FC,20794,66,53,39,2015,3,29,http://matchcenter.mlssoccer.com/matchcenter/2015-03-29-real-salt-lake-vs-toronto-fc/boxscore),
(4/3/2015,Friday,Orlando,D.C. United,32822,87,76,65,2015,4,3,http://matchcenter.mlssoccer.com/matchcenter/2015-04-03-orlando-city-sc-vs-dc-united/boxscore),
(4/4/2015,Saturday,Chicago,Toronto FC,13818,67,42,17,2015,4,4,http://matchcenter.mlssoccer.com/matchcenter/2015-04-04-chicago-fire-vs-toronto-fc/boxscore),
(4/4/2015,Saturday,Colorado,New England,11450,63,47,31,2015,4,4,http://matchcenter.mlssoccer.com/matchcenter/2015-04-04-colorado-rapids-vs-new-england-revolution/boxscore),
(4/4/2015,Saturday,Seattle,Houston,39860,55,47,39,2015,4,4,http://matchcenter.mlssoccer.com/matchcenter/2015-04-04-seattle-sounders-fc-vs-houston-dynamo/boxscore),
(4/4/2015,Saturday,Vancouver,LA Galaxy,21000,53,44,36,2015,4,4,http://matchcenter.mlssoccer.com/matchcenter/2015-04-04-vancouver-whitecaps-fc-vs-la-galaxy/boxscore),
(4/4/2015,Saturday,Portland,FC Dallas,21144,42,38,33,2015,4,4,http://matchcenter.mlssoccer.com/matchcenter/2015-04-04-portland-timbers-vs-fc-dallas/boxscore),
(4/5/2015,Sunday,San Jose,Real Salt Lake,18000,62,53,43,2015,4,5,http://matchcenter.mlssoccer.com/matchcenter/2015-04-05-san-jose-earthquakes-vs-real-salt-lake/boxscore),
(4/5/2015,Sunday,Sporting KC,Philadelphia,19545,66,53,39,2015,4,5,http://matchcenter.mlssoccer.com/matchcenter/2015-04-05-sporting-kansas-city-vs-philadelphia-union/boxscore),
(4/8/2015,Wednesday,Vancouver,Columbus,18083,57,47,37,2015,4,8,http://matchcenter.mlssoccer.com/matchcenter/2015-04-08-vancouver-whitecaps-fc-vs-columbus-crew-sc/boxscore),
(4/10/2015,Friday,FC Dallas,Colorado,12929,70,61,52,2015,4,10,http://matchcenter.mlssoccer.com/matchcenter/2015-04-10-fc-dallas-vs-colorado-rapids/boxscore),
(4/11/2015,Saturday,New England,Columbus,13092,57,50,42,2015,4,11,http://matchcenter.mlssoccer.com/matchcenter/2015-04-11-new-england-revolution-vs-columbus-crew-sc/boxscore),
(4/11/2015,Saturday,Philadelphia,New York City,18603,63,55,47,2015,4,11,http://matchcenter.mlssoccer.com/matchcenter/2015-04-11-philadelphia-union-vs-new-york-city-fc/boxscore),
